"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet Przyrodniczy w Poznaniu","U. Przyrodniczy w Poznaniu",388,254,65.5,99,"rolnictwo i ogrodnictwo",129.15,374.62,3
"Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich","P. Bydgoska",188,122,64.9,52,"rolnictwo i ogrodnictwo",51.55,423.49,3.65
"Uniwersytet w Siedlcach","U. w Siedlcach",87,50,57.5,22,"rolnictwo i ogrodnictwo",24.75,365.29,3.52
"Uniwersytet Przyrodniczy w Lublinie","U. Przyrodniczy w Lublinie",321,177,55.1,77,"rolnictwo i ogrodnictwo",104.24,420.64,3.08
"Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie","U. Rolniczy w Krakowie",352,187,53.1,81,"rolnictwo i ogrodnictwo",109.68,413.19,3.21
"Uniwersytet Przyrodniczy we Wrocławiu","U. Przyrodniczy we Wrocławiu",304,159,52.3,77,"rolnictwo i ogrodnictwo",93.26,407.21,3.26
"Uniwersytet Warmińsko-Mazurski w Olsztynie","U. Warmińsko-Mazurski w Olsztynie",243,127,52.3,62,"rolnictwo i ogrodnictwo",65.24,450.06,3.72
"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie","SGGW w Warszawie",324,167,51.5,101,"rolnictwo i ogrodnictwo",100.28,369.5,3.23
"Uniwersytet Rzeszowski","U. Rzeszowski",125,63,50.4,45,"rolnictwo i ogrodnictwo",37.75,444.53,3.31
"Instytut Uprawy Nawożenia i Gleboznawstwa - Państwowy Instytut Badawczy","Inst. Uprawy Nawożenia i Gleboznawstwa PIB",327,156,47.7,93,"rolnictwo i ogrodnictwo",91.31,357.53,3.58
"Instytut Hodowli i Aklimatyzacji Roślin - Państwowy Instytut Badawczy","Inst. Hodowli i Aklimatyzacji Roślin PIB",265,124,46.8,87,"rolnictwo i ogrodnictwo",86.56,282.45,3.06
"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie","Zachodniopomorski Uniwersytet Technologiczny ...",85,39,45.9,31,"rolnictwo i ogrodnictwo",25.44,420.05,3.34
"Instytut Technologiczno-Przyrodniczy - Państwowy Instytut Badawczy","Inst. Technologiczno-Przyrodniczy PIB",76,33,43.4,31,"rolnictwo i ogrodnictwo",22.26,394.29,3.41
"Instytut Włókien Naturalnych i Roślin Zielarskich - Państwowy Instytut Badawczy","Inst. Włókien Naturalnych i Roślin Zielarskic...",121,51,42.1,40,"rolnictwo i ogrodnictwo",34.19,370.34,3.54
"Instytut Ogrodnictwa - Państwowy Instytut Badawczy","Inst. Ogrodnictwa PIB",338,129,38.2,93,"rolnictwo i ogrodnictwo",106.47,337.32,3.17
"Instytut Ochrony Roślin - Państwowy Instytut Badawczy","Inst. Ochrony Roślin PIB",211,71,33.6,70,"rolnictwo i ogrodnictwo",61.98,346.35,3.4
"Instytut Fizjologii Roślin im. Franciszka Górskiego Polskiej Akademii Nauk","Inst. Fizjologii Roślin",109,36,33,48,"rolnictwo i ogrodnictwo",33.7,394.81,3.23
"Instytut Genetyki Roślin Polskiej Akademii Nauk","Inst. Genetyki Roślin PAN",148,27,18.2,85,"rolnictwo i ogrodnictwo",47,375.04,3.15
"Instytut Agrofizyki im. Bohdana Dobrzańskiego Polskiej Akademii Nauk","Inst. Agrofizyki",157,28,17.8,54,"rolnictwo i ogrodnictwo",51,524.14,3.08
