"","Molecules","Applied Sciences","Nutrients","Foods","International Journal of Molecular Sciences","Food Chemistry","Scientific Reports","Sustainability","Żywność. Nauka. Technologia. Jakość","International Journal of Environmental Research and Public Health","Antioxidants","LWT - Food Science and Technology","Materials","Poultry Science","Agriculture","Annals of Animal Science","Industrial Crops and Products","Food Research International","Acta Universitatis Cibiniensis - Series E: Food Technology","Food Hydrocolloids","NFS Journal","PLoS ONE","Critical Reviews in Food Science and Nutrition","Energies","Polymers","Food Control","Animals","Meat Science","Polish Journal of Food and Nutrition Sciences","Journal of Dairy Science"
"InLife Instytut Rozrodu Zwierząt i Badań Żywn...",22,0,11,2,15,6,9,0,0,0,1,0,0,1,0,3,0,1,0,1,0,0,2,0,0,1,0,0,0,0
"Inst. Biotechnologii Przemysłu Rolno-Spożywczego",25,15,1,17,13,7,6,1,1,1,1,4,1,2,2,1,0,3,0,0,1,0,6,2,0,0,2,1,1,0
"P. Łódzka",73,21,18,3,32,10,10,4,1,0,3,1,3,0,3,0,2,2,0,0,4,1,0,2,1,1,1,0,0,0
"SGGW w Warszawie",86,122,101,65,17,11,13,17,9,19,7,11,4,4,5,0,2,2,0,2,3,3,4,1,5,0,0,6,3,0
"U. Ekonomiczny we Wrocławiu",26,7,5,9,7,1,0,6,1,1,0,0,2,7,1,0,1,4,0,1,0,1,0,8,2,0,2,0,0,0
"U. Morski w Gdyni",3,2,0,12,1,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
"U. Przyrodniczy w Lublinie",58,13,30,28,7,18,13,0,4,3,3,0,2,2,0,4,1,4,0,3,0,0,0,0,1,0,1,7,1,3
"U. Przyrodniczy w Poznaniu",74,17,25,29,11,24,16,2,2,2,3,0,5,1,3,3,4,2,0,2,1,5,0,2,0,6,3,0,2,2
"U. Przyrodniczy we Wrocławiu",67,2,20,10,31,16,29,0,2,0,3,3,1,1,1,1,8,2,0,1,1,2,0,0,1,0,0,0,0,0
"U. Rolniczy w Krakowie",80,21,15,17,30,23,4,0,7,0,4,3,7,2,4,6,1,0,14,4,1,3,3,1,3,4,1,0,2,2
"U. Rzeszowski",37,5,7,6,20,4,2,1,6,2,1,0,1,0,4,1,4,0,4,1,0,0,1,0,1,1,2,0,0,0
"U. Warmińsko-Mazurski w Olsztynie",28,20,16,15,11,4,8,2,0,4,1,3,0,0,1,3,0,1,0,3,7,1,1,1,1,3,3,2,2,5
"Zachodniopomorski Uniwersytet Technologiczny ...",17,12,7,13,7,4,5,1,2,1,3,2,2,7,1,1,0,0,2,1,1,0,0,0,2,0,1,0,0,0
