"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet Rzeszowski","U. Rzeszowski",124,91,73.4,32,"technologia żywności i żywienia",34.75,487.83,3.57
"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie","SGGW w Warszawie",654,468,71.6,107,"technologia żywności i żywienia",171,398.45,3.82
"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie","Zachodniopomorski Uniwersytet Technologiczny ...",111,73,65.8,35,"technologia żywności i żywienia",31.69,439.22,3.5
"Uniwersytet Ekonomiczny we Wrocławiu","U. Ekonomiczny we Wrocławiu",118,77,65.3,37,"technologia żywności i żywienia",39.17,400.71,3.01
"Politechnika Łódzka","P. Łódzka",273,177,64.8,73,"technologia żywności i żywienia",84.03,442.4,3.25
"Uniwersytet Przyrodniczy w Lublinie","U. Przyrodniczy w Lublinie",230,148,64.3,42,"technologia żywności i żywienia",73.94,452.29,3.11
"Uniwersytet Przyrodniczy we Wrocławiu","U. Przyrodniczy we Wrocławiu",234,139,59.4,42,"technologia żywności i żywienia",77.19,523.14,3.03
"Instytut Biotechnologii Przemysłu Rolno-Spożywczego im. prof. Wacława Dąbrowskiego – Państwowy Instytut Badawczy","Inst. Biotechnologii Przemysłu Rolno-Spożywczego",153,90,58.8,56,"technologia żywności i żywienia",44.85,432.73,3.41
"Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie","U. Rolniczy w Krakowie",313,184,58.8,62,"technologia żywności i żywienia",95.06,455.81,3.29
"Uniwersytet Przyrodniczy w Poznaniu","U. Przyrodniczy w Poznaniu",332,189,56.9,83,"technologia żywności i żywienia",109.3,458.98,3.04
"Uniwersytet Morski w Gdyni","U. Morski w Gdyni",41,23,56.1,17,"technologia żywności i żywienia",12.88,320.57,3.18
"Uniwersytet Warmińsko-Mazurski w Olsztynie","U. Warmińsko-Mazurski w Olsztynie",199,107,53.8,59,"technologia żywności i żywienia",53.63,415.7,3.71
"InLife Instytut Rozrodu Zwierząt i Badań Żywności Polskiej Akademii Nauk","InLife Instytut Rozrodu Zwierząt i Badań Żywn...",104,51,49,36,"technologia żywności i żywienia",31.57,460.69,3.29
