"","Animals","International Journal of Molecular Sciences","Annals of Animal Science","Scientific Reports","Poultry Science","Animal","Animal Science Papers and Reports","Journal of Veterinary Research (Poland)","Molecules","Agriculture","Theriogenology","Applied Sciences","Journal of Animal and Feed Sciences","BMC Veterinary Research","Journal of Applied Genetics","Polish Journal of Veterinary Sciences","Animal Feed Science and Technology","Nutrients","Fisheries & Aquatic Life","Roczniki Naukowe Zootechniki","Aquaculture","PLoS ONE","Animal Reproduction Science","Foods","Genes","European Zoological Journal","Livestock Science","Journal of Dairy Science","Applied Animal Behaviour Science","ROCZNIKI NAUKOWE POLSKIEGO TOWARZYSTWA ZOOTECHNICZNEGO"
"InLife Instytut Rozrodu Zwierząt i Badań Żywn...",12,20,5,13,3,1,0,0,0,0,14,1,1,3,0,1,0,0,0,0,12,4,8,0,0,0,0,1,0,0
"Inst. Fizjologii i Żywienia Zwierząt",0,30,4,5,2,2,0,2,5,0,1,0,1,0,0,0,1,3,0,0,0,1,0,0,0,0,2,0,0,0
"Inst. Genetyki i Biotechnologii Zwierząt PAN",3,19,5,9,9,8,23,5,3,1,3,2,1,1,2,1,1,2,0,0,0,2,0,0,2,0,2,1,5,0
"Inst. Rybactwa Śródlądowego",8,1,3,4,0,2,0,2,0,0,1,1,2,0,4,1,2,0,14,0,10,1,3,1,0,1,0,0,0,0
"Inst. Zootechniki PIB",8,14,66,10,9,7,2,2,3,2,1,1,0,1,6,1,2,2,0,9,0,1,0,2,7,0,2,1,0,0
"Morski Instytut Rybacki PIB",1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0
"P. Bydgoska",6,1,3,9,31,6,1,2,0,0,0,0,0,2,2,1,1,0,0,1,0,0,0,0,0,2,2,0,0,0
"SGGW w Warszawie",36,23,4,15,7,3,12,4,4,11,0,7,7,4,0,0,5,1,4,3,1,4,0,3,4,3,0,0,0,2
"U. Przyrodniczy w Lublinie",46,19,29,18,13,5,3,11,6,5,0,0,3,9,3,3,1,13,0,0,0,3,0,2,1,1,3,2,3,0
"U. Przyrodniczy w Poznaniu",15,7,17,8,9,9,3,2,5,4,5,1,3,3,5,1,9,2,0,0,0,1,0,2,1,1,4,6,0,0
"U. Przyrodniczy we Wrocławiu",21,11,6,14,4,2,2,2,4,13,1,2,1,4,2,4,4,0,0,0,0,4,0,1,2,3,0,0,2,0
"U. Rolniczy w Krakowie",21,27,14,17,7,12,4,3,3,0,12,3,6,1,4,0,2,0,3,9,0,0,3,1,1,0,2,3,5,0
"U. Warmińsko-Mazurski w Olsztynie",38,26,16,5,5,1,2,6,2,3,1,5,7,3,1,15,3,2,3,4,3,2,7,4,2,0,0,3,2,0
"U. w Siedlcach",17,3,2,1,0,0,3,3,0,3,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,11
"Zachodniopomorski Uniwersytet Technologiczny ...",31,19,2,8,1,0,3,8,12,3,0,12,4,3,2,1,1,3,1,1,0,1,1,5,0,7,1,0,0,4
