"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Instytut Fizjologii i Żywienia Zwierząt im. Jana Kielanowskiego Polskiej Akademii Nauk","Inst. Fizjologii i Żywienia Zwierząt",68,40,58.8,22,"zootechnika i rybactwo",22.28,440.53,3.05
"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie","Zachodniopomorski Uniwersytet Technologiczny ...",225,110,48.9,82,"zootechnika i rybactwo",60.63,376.2,3.71
"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie","SGGW w Warszawie",239,110,46,81,"zootechnika i rybactwo",68.63,393.05,3.48
"Uniwersytet Warmińsko-Mazurski w Olsztynie","U. Warmińsko-Mazurski w Olsztynie",202,89,44.1,49,"zootechnika i rybactwo",60.05,407.69,3.36
"Uniwersytet Przyrodniczy we Wrocławiu","U. Przyrodniczy we Wrocławiu",146,62,42.5,48,"zootechnika i rybactwo",43.69,388.81,3.34
"Uniwersytet w Siedlcach","U. w Siedlcach",64,27,42.2,21,"zootechnika i rybactwo",19.25,306.49,3.32
"Uniwersytet Przyrodniczy w Lublinie","U. Przyrodniczy w Lublinie",252,100,39.7,58,"zootechnika i rybactwo",82.81,414.14,3.04
"Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie","U. Rolniczy w Krakowie",223,64,28.7,62,"zootechnika i rybactwo",68.66,417.23,3.25
"Instytut Genetyki i Biotechnologii Zwierząt Polskiej Akademii Nauk","Inst. Genetyki i Biotechnologii Zwierząt PAN",144,38,26.4,53,"zootechnika i rybactwo",43.91,418.29,3.28
"InLife Instytut Rozrodu Zwierząt i Badań Żywności Polskiej Akademii Nauk","InLife Instytut Rozrodu Zwierząt i Badań Żywn...",160,41,25.6,54,"zootechnika i rybactwo",50.77,420.27,3.15
"Uniwersytet Przyrodniczy w Poznaniu","U. Przyrodniczy w Poznaniu",161,40,24.8,54,"zootechnika i rybactwo",52.57,454.16,3.06
"Instytut Zootechniki - Państwowy Instytut Badawczy","Inst. Zootechniki PIB",190,42,22.1,46,"zootechnika i rybactwo",58.95,471.86,3.22
"Instytut Rybactwa Śródlądowego im. Stanisława Sakowicza - Państwowy Instytut Badawczy","Inst. Rybactwa Śródlądowego",103,19,18.4,42,"zootechnika i rybactwo",32.5,381.23,3.17
"Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich","P. Bydgoska",76,7,9.2,20,"zootechnika i rybactwo",23.44,437.76,3.24
"Morski Instytut Rybacki - Państwowy Instytut Badawczy","Morski Instytut Rybacki PIB",105,4,3.8,60,"zootechnika i rybactwo",43.55,255.09,2.41
